bio_0_pdf_dyakonov_ma01.docx,"Дьяконов М.А. Амундсен, 1937"
bio_0_pdf_evdokimova_vivatenko01.docx,"Евдокимова Н.П. Виватенко С.В. Раймон Пуанкаре — президент Франции, 2006"
bio_0_pdf_faure_p01.docx,"Фор П. Александр Македонский, 2011"
bio_0_pdf_filin_vm01.docx,"Филин В.M. Путь к Энергии, 2001"
bio_0_pdf_foerster_w01.docx,"Фёрстер В. Противостояние фюреру. Трагедия руководителя немецкого Генштаба. 1933-1944, 2008"
bio_0_pdf_ganin_av05rus.docx,"Ганин А.В. Болгарин, защитивший Россию судьба Йордана Пехливанова, 2012"
bio_0_pdf_ganin_semyonov01.docx,"Ганин А.В. Семёнов В.Г. Офицерский корпус Оренбургского казачьего войска. 1891-1945 Биографический справочник, 2007"
bio_0_pdf_gladkov_kizya01.docx,"Гладков Т.К. Кизя Л.Е. Ковпак, 1973"
bio_0_pdf_gladkov_tk04.docx,"Гладков Т.К. Медведев, 1985"
bio_0_pdf_grigoryev_bn01.docx,"Григорьев Б.H. Карл XII, или Пять пуль для короля, 2006"
bio_0_pdf_guschik_ve01.docx,"Гущик В.Е. Наш главнокомандующий, генерал Иван Яковлевич Лайдонер, 1940"
bio_0_pdf_ippolitov_gm01.docx,"Ипполитов Г.M. Деникин, 2006"
bio_0_pdf_isbah_aa01.docx,"Исбах А.А. Фурманов, 1968"
bio_0_pdf_ivanovskiy_ad01.docx,"Ивановский А.Д. Государственный канцлер граф Николай Петрович Румянцев, 1871"
bio_0_pdf_ivchenko_ll01.docx,"Ивченко Л.Л. Кутузов, 2012"
bio_0_pdf_kantor_yz01.docx,"Кантор Ю.З. Война и мир Михаила Тухачевского, 2005"
bio_0_pdf_karchmit_aa01.docx,"Карчмит А.А. Рокоссовский терновый венец славы, 2001"
bio_0_pdf_kardashov_vi02.docx,"Кардашов В.И. Ворошилов, 1988"
bio_0_pdf_kardashov1984.docx,"Кардашов В.И. Рокоссовский, 1980"
bio_0_pdf_kargalov_saharov01.docx,"Каргалов В.В. Сахаров А.Н. Полководцы Древней Руси, 1985"
bio_0_pdf_karpenko_vv01.docx,"Карпенко В.В. Щорс, 1974"
bio_0_pdf_karpov_au02.docx,"Карпов А.Ю. Юрий Долгорукий, 2006"
bio_0_pdf_kazydub_gi01.docx,"Казыдуб Г.И. Семь главкомов РВСН без ретуши и грима, 2004"
bio_0_pdf_kiparisov_v01.docx,"Кипарисов В. Верховный правитель адмирал А. В. Колчак, 1919"
bio_0_pdf_kirilin_f01.docx,"Кирилин Ф. Основатель и Верховный Руководитель Добровольческой Армии генерал М. В. Алексеев, 1919"
bio_0_pdf_kondratyev_nd03.docx,"Кондратьев Н.Д. Ян Фабрициус Биографический очерк, 1954"
bio_0_pdf_korolchenko_af01.docx,"Корольченко А.Ф. Выбитый генералитет Историческое повествование, 2000"
bio_0_pdf_korolyov_as01.docx,"Королев А.С. Святослав, 2011"
bio_0_pdf_kostin_margelov.docx,"Костин Б.А. Маргелов, 2005"
bio_0_pdf_kozlov_sg01.docx,"Козлов С.Г. Беззвучный бьёт. Документальная повесть, 2006"
bio_0_pdf_krasnov_vg01.docx,"Краснов В.Г. Маршал великой империи. Лавры и тернии полководца, 2005"
bio_0_pdf_krawczuk_a01.docx,"Кравчук А. Галерея римских императоров. Принципат, 2010"
bio_0_pdf_kulman_nk01.docx,"Кульман Н.К. Князь Олег, 1915"
bio_0_pdf_kurukin_iv01.docx,"Курукин И.В. Бирон, 2006"
bio_0_pdf_kuzmina_sb01.docx,"Кузьмина С.Б. Адмирал Корнилов, 2007"
bio_0_pdf_leontyev_ap01.docx,"Леонтьев А.П. Юнги с Урала, 1980"
bio_0_pdf_levandovsky_ap02.docx,"Левандовский А.П. Жанна дАрк, 1982"
bio_0_pdf_lipilin_vg01.docx,"Липилин В.Г. Крылов, 1983"
bio_0_pdf_loshitum01.docx,"Лощиц Ю. M. Дмитрий Донской. — 2-е изд. — М. Молодая гвардия, 1983"
bio_0_pdf_lurye_vm01.docx,"Лурье В.М. Адмиралы и генералы Военно-морского флота СССР 1946-1960, 2007"
bio_0_pdf_medvedev_dl01.docx,"Медведев Д.Л. Черчилль частная жизнь, 2008"
bio_0_pdf_medvedev_ra01.docx,"Медведев Р.А. Андропов, 2006"
bio_0_pdf_meri_v01.docx,"Мери В. Карл Густав Маннергейм, маршал Финляндии, 1997"
bio_0_pdf_mironenko_vn01.docx,"Мироненко В.Н. Звезда Крыловича, 2015"
bio_0_pdf_nayda_sf01.docx,"Найда С.Ф. Выдающийся русский поководец — адмирал П. С. Нахимов, 1952"
bio_0_pdf_nazhivin_if01.docx,"Наживин И.Ф. Степан Разин (Казаки), 2004"
bio_0_pdf_nosov_vt01.docx,"Носов В.Т. Стратеги военачальники, ученые, испытатели ракетных войск стратегического назначения, 2014"
bio_0_pdf_olgin_i01.docx,"Ольгин И. Верховный правитель России адмирал А. В. Колчак, 1919"
bio_0_pdf_pavlyukov_ae01.docx,"Павлюков А.Е. Ежов. Биография, 2007"
bio_0_pdf_polyakov_ia02.docx,"Поляков И.А. Краснов-Власов. Воспоминания, 1959"
bio_0_pdf_popov_ph01.docx,"Попов П.Х. Герои Дона Граф М. Ив. Платов. Граф В. В. Орлов-Денисов. Генерал-лейтенант Ив. Ефр. Ефремов. Генерал-лейтенант Як. П. Бакланов, 1911"
bio_0_pdf_porhunov_ga01.docx,"Порхунов Г.А. Генералитет русской армии в годы первой мировой войны (1914-1918 гг.), 1997"
bio_0_pdf_poznansky_vs01.docx,"Познанский В.С. Сибирский красный генерал, 1972"
bio_0_pdf_pribytkov_vv01.docx,"Прибытков В.В. Черненко, 2009"
bio_0_pdf_remy_mp01.docx,"Реми М.Ф. Миф Роммеля. Легенда Африканского корпуса, 2008"
bio_0_pdf_romanov_ap01.docx,"Романов А.П. Космонавт-два, 1979"
bio_0_pdf_rubtsov_yv01.docx,"Руднев Н.В. Командир легендарного крейсера, 1960"
bio_0_pdf_rutych_nn01.docx,"Рутыч H.H. Белый фронт генерала Юденича Биографии чинов Северо-Западной армии, 2002"
bio_0_pdf_ruzanova_nv01.docx,"Рузанова Н.В. Юность космонавта, 1986"
bio_0_pdf_schedrolosev_vv01.docx,"Щедролосев В.В. Командиры эсминцев Северного флота, 2009"
bio_0_pdf_schindling_ziegler01.docx,"Шиндлинг А. Циглер В. Кайзеры, 1997"
bio_0_pdf_semanov_sn03.docx,"Семанов С.H. Брусилов, 1980"
bio_0_pdf_sharapov_ep01.docx,"Шарапов Э.П. Наум Эйтингон — карающий меч Сталина, 2003"
bio_0_pdf_sharipov_aa01.docx,"Шарипов А.А. Черняховский, "
bio_0_pdf_shebzuhov_mh01.docx,"Шебзухов М.Х. Сыны и дочери Адыгеи в Великой Отечественной…, 1995"
bio_0_pdf_shevelev_vn01.docx,"Шевелев В.Н. Н. С. Хрущев, 1999"
bio_0_pdf_shishov_av.docx,"Шишов А.В. Минин и Пожарский, 1990"
bio_0_pdf_shishov_av06.docx,"Шишов А.В. Юденич Генерал суворовской школы, 2004"
bio_0_pdf_shishov_av07.docx,"Шишов А.В. Корнилов. Несостоявшийся диктатор, 2004"
bio_0_pdf_shishov_av08.docx,"Шишов A.B. Знаменитые иностранцы на службе России, 2001"
bio_0_pdf_shishov_av10.docx,"Шишов A.B. Русские генерал-фельдмаршалы Дибич-Забалканский, Паскевич-Эриванский, 2001"
bio_0_pdf_shmaglit_rg01.docx,"Шмаглит Р.Г. Белое движение. 900 биографий крупнейших представителей русского военного зарубежья, 2006"
bio_0_pdf_sinelnikov_fm01.docx,"Синельников Ф.М. Жизнь фельдмаршала Михаила Илларионовича Кутузова, 2007"
bio_0_pdf_smyslov_os01.docx,"Смыслов О.С. Генерал Абакумов. Всесильный хозяин СМЕРШа, 2005"
bio_0_pdf_sokolov_bv03.docx,"Соколов Б.В. Буденный Красный Мюрат, 2007"
bio_0_pdf_steenberg_s01.docx,"Штеенберг С. Генерал Власов, 2005"
bio_0_pdf_stepanov_nt01.docx,"Степанов Н.T. Подвойский, 1989"
bio_0_pdf_suetonius.docx,"Светоний Г.Т. Жизнь двенадцати цезарей, 1993"
bio_0_pdf_taubman_w01.docx,"Таубман У. Хрущёв, 2008"
bio_0_pdf_tolubko_nedelin.docx,"Толубко В.Ф. Неделин Первый главком стратегических, 1979"
bio_0_pdf_troitsky_na01.docx,"Троицкий Н.А. Фельдмаршал Кутузов. Мифы и факты, 2003"
bio_0_pdf_tsintsadze_ns01-1.docx,"Цинцадзе Н.С. Г. Р. Державин на службе у трех императоров. Том 1, 2014"
bio_0_pdf_tsintsadze_ns01-2.docx,"Цинцадзе Н.С. Г. Р. Державин на службе у трех императоров. Том 2, 2014"
bio_0_pdf_ushakov_fedyuk01.docx,"Ушаков А.И. Федюк В.П. Лавр Корнилов, 2006"
bio_0_pdf_vasilevsky_lp01.docx,"Василевский Л.П. Испанская хроника Григория Грандэ Повесть-воспоминание, 1985"
bio_0_pdf_vilensky_es01.docx,"Виленский Э.С. Сын Белоруссии, 1943"
bio_0_pdf_vyskochkov_lv01.docx,"Выскочков Л.В. Николай I, 2006"
bio_0_pdf_yakovlev_nn02.docx,"Яковлев Н.H. Жуков, 1992"
bio_0_pdf_zaharova_ou01.docx,"Захарова О.Ю. Генерал-фельдмаршал светлейший князь М. С. Воронцов. Рыцарь Российской империи, 2001"
bio_0_pdf_zhigalov_im01.docx,"Жигалов И.M. Дыбенко, 1983"
bio_0_pdf_ziv_ga01.docx,"Зив Г.А. Троцкий. Характеристика (По личным воспоминаниям), 1921"
bio_0_pdf_zolototrubov_am01.docx,"Золототрубов А.М. Буденный, 1983"
bio_0_pdf_zubov_vp.docx,"Зубов В.П. Павел I, 2007"
books_djvu_bio_a_marshal-sokolovskiy.docx,"Маршал Василий Соколовский. — М. Издательство Патриот, 2017"
books_djvu_bio_aldan-semyonov_ai05.docx,"Алдан-Семенов А.И. Гроза над Россией Повесть о М. Фрунзе, 1985"
books_djvu_bio_antonov_vs03.docx,"Антонов В. С. Расстрелянная разведка. — М.; Вече, 2012"
books_djvu_bio_azov_ds03.docx,"Азов Д. С. В строю — сыновья; О В.Е. Гребенюке; Очерк. — Москва; Воениздат, 1963."
books_djvu_bio_bagramyan_ih03.docx,"Баграмян И.Х. Великого народа сыновья, 1984"
books_djvu_bio_baksheeva_gz01.docx,"Бакшеева Г. З. Танки идут на мины; О Герое Сов. Союза, лауреате Гос. премии П.М. Мугалеве. — Москва; Моск. рабочий, 1974."
books_djvu_bio_balandin_rk03.docx,"Баландин Р. К. Маршал Шапошников. Военный советник вождя Р.К. Баландин. — М.; Вече, 2005."
books_djvu_bio_beer_g01.docx,"Бир Г. Ганнибал; борьба за власть в Средиземноморье Пер. с англ. А. С. Коноплёва. — Смоленск; Русич, 2005."
books_djvu_bio_bodrihin_ng03.docx,"Бодрихин Н.Г. Великие летчики мира. 100 историй о покорителях, 2011"
books_djvu_bio_bogdanov_ap01.docx,"Богданов А. П. Несостоявшийся император Федор Алексеевич А. П. Богданов. — М.; Вече, 2009."
